trialNum,trialType,stimA,stimB,outcomeA,outcomeB
1,shared,1,2,50,40
2,shared,1,2,50,40
3,shared,1,2,50,40
4,shared,1,2,50,60
5,shared,1,2,50,60
6,shared,1,2,50,60
7,shared,2,1,40,50
8,shared,2,1,40,50
9,shared,2,1,40,50
10,shared,2,1,60,50
11,shared,2,1,60,50
12,shared,2,1,60,50
13,context,3,4,80,70
14,context,3,4,80,70
15,context,3,4,80,70
16,context,3,4,80,90
17,context,3,4,80,90
18,context,3,4,80,90
19,context,4,3,70,80
20,context,4,3,70,80
21,context,4,3,70,80
22,context,4,3,90,80
23,context,4,3,90,80
24,context,4,3,90,80
25,catch,5,6,0,100
26,catch,5,6,0,100
27,catch,5,6,0,100
28,catch,6,5,100,0
29,catch,6,5,100,0
30,catch,6,5,100,0
31,catch,1,3,50,80
32,catch,1,4,50,70
33,catch,1,5,50,0
34,catch,1,6,50,100
35,catch,2,3,40,80
36,catch,2,4,60,90
37,catch,2,5,40,0
38,catch,2,6,60,100
39,catch,3,5,80,0
40,catch,3,6,80,100
41,catch,4,5,70,0
42,catch,4,6,90,100
43,catch,3,1,80,50
44,catch,4,1,90,50
45,catch,5,1,0,50
46,catch,6,1,100,50
47,catch,3,2,80,60
48,catch,4,2,70,40
49,catch,5,2,0,60
50,catch,6,2,100,40
51,catch,5,3,0,80
52,catch,6,3,100,80
53,catch,5,4,0,90
54,catch,6,4,100,70
55,single,1,NA,50,NA
56,single,NA,1,NA,50
57,single,2,NA,40,NA
58,single,NA,2,NA,60
59,single,3,NA,80,NA
60,single,NA,3,NA,80
61,single,4,NA,90,NA
62,single,NA,4,NA,70
63,single,5,NA,0,NA
64,single,NA,5,NA,0
65,single,6,NA,100,NA
66,single,NA,6,NA,100
